Date,AAPL
2022-09-30,137.2042236328125
2022-10-03,141.42359924316406
2022-10-04,145.04730224609375
2022-10-05,145.34512329101562
2022-10-06,144.38211059570312
2022-10-07,139.0806121826172
2022-10-10,139.40823364257812
2022-10-11,137.97860717773438
2022-10-12,137.34320068359375
2022-10-13,141.959716796875
2022-10-14,137.38294982910156
2022-10-17,141.38388061523438
2022-10-18,142.7142333984375
2022-10-19,142.82342529296875
2022-10-20,142.35682678222656
2022-10-21,146.2088623046875
2022-10-24,148.37313842773438
2022-10-25,151.24234008789062
2022-10-26,148.2738800048828
2022-10-27,143.7566680908203
2022-10-28,154.6178436279297
2022-10-31,152.235107421875
2022-11-01,149.56451416015625
2022-11-02,143.98501586914062
2022-11-03,137.87933349609375
2022-11-04,137.61083984375
